,lat_x,lng_x,distance
266,1.2901179,103.82898160794348,0.486712014806923 km
267,1.29014495,103.81684611520616,0.05763943001331201 km
268,1.2901627,103.82859299543463,0.47328155536804595 km
269,1.2903086,103.83717385939856,0.8320300836483421 km
270,1.2903117000000002,103.83824173819882,0.7189549223203188 km
271,1.2903365999999998,103.8189535981038,0.2581934027101915 km
272,1.2906254,103.8059575,0.4342604406292702 km
273,1.2906522,103.83260762411332,0.7953462342062244 km
274,1.2906629,103.77485744056156,1.126857889713787 km
275,1.2907372,103.81807876293578,0.19243926648642198 km
276,1.2908369,103.81703282882488,0.13686162410089417 km
277,1.290842,103.8051818,0.4220377810013509 km
278,1.2908547499999998,103.83459254363744,0.9898141785015223 km
279,1.2908896,103.83745798944445,0.7849498302397698 km
280,1.2909214,103.8026888,0.5506932187898921 km
281,1.2911289,103.77013799566218,1.6283173153736985 km
282,1.291262,103.8165008,0.1819309923179557 km
283,1.29127755,103.82746172254512,0.5644035665249114 km
284,1.2913032,103.8053803,0.3673875417513912 km
285,1.29142015,103.84426811480154,0.11761898104189976 km
286,1.29149605,103.8449656139679,0.12987252801235355 km
287,1.2915065499999998,103.83670439151769,0.8556409262859774 km
288,1.2915204500000002,103.80511320990595,0.35184018274961654 km
289,1.2915277,103.771768,1.4422127879842372 km
290,1.29152945,103.76869734699108,1.7806363394512428 km
291,1.29154095,103.80354496361406,0.43610347670570354 km
292,1.2915415,103.84517442690934,0.14006135628986122 km
293,1.29158245,103.80762528849952,0.3707026199232708 km
294,1.2917127,103.8263438,0.6145061698896834 km
295,1.2918678,103.80266735,0.48168902304114913 km
296,1.29194075,103.83419213485392,1.0220454655329148 km
297,1.2919864,103.8388129592894,0.6165902395411293 km
298,1.29215095,103.81631364873118,0.282287158949006 km
299,1.2921536,103.826064,0.6670826294112939 km
300,1.2922908,103.83812016977666,0.6915751574217086 km
301,1.292384,103.824098,0.756721575301986 km
302,1.2926210500000002,103.83051578145592,0.8112648094202026 km
303,1.29269905,103.80286422683048,0.41204956681711413 km
304,1.2927719,103.80842240563408,0.3268299994009588 km
305,1.2927723,103.84323491669784,0.12617786470650075 km
306,1.29277395,103.82179828971562,0.6612797150227135 km
307,1.2928695,103.83047615,0.8333763521629114 km
308,1.2928811,103.806148499469,0.18480319109109664 km
309,1.29298105,103.81210700762396,0.6347420754561685 km
310,1.2930218,103.8033701,0.3454720395263751 km
311,1.2930743,103.84051001811346,0.4302968695447821 km
312,1.2931142000000002,103.81139312358758,0.612577391493338 km
313,1.29312325,103.8198389700099,0.5173853920484277 km
314,1.29314065,103.83767042389816,0.7448744006641076 km
315,1.2931515999999998,103.81071216148337,0.5385401249755573 km
316,1.29316055,103.81442965246936,0.46709787705721045 km
317,1.2931673,103.8527436,0.029748986661076622 km
318,1.2932171,103.810024069313,0.46335405135352603 km
319,1.2933132,103.80825663256502,0.2785005818480021 km
320,1.2933505,103.83887866386893,0.6143909111548257 km
321,1.29335185,103.80881338251314,0.33212744094611146 km
